PVUSER11;PVUSER26;PVUSER35;PVUSER53
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.6000;0.6000;0.6000;0.6000
0.6000;0.6000;0.6000;0.6000
0.6000;0.6000;0.6000;0.6000
0.6000;0.6000;0.6000;0.6000
0.9600;0.9600;0.9600;0.9600
0.9600;0.9600;0.9600;0.9600
0.9600;0.9600;0.9600;0.9600
0.9600;0.9600;0.9600;0.9600
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1467
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.8800;2.6055;2.3613;2.2337
2.8800;2.5708;2.3626;2.2056
2.7825;2.3513;2.1728;1.9659
3.3496;2.8852;2.5781;2.3969
3.4592;3.0845;2.6662;2.7183
3.3762;2.8683;2.4383;2.4047
3.6891;2.9847;2.6422;2.3872
3.7538;3.1915;2.8743;2.6303
3.6000;3.2564;3.0318;2.7975
3.4734;3.0469;2.8095;2.5488
3.6000;3.4635;3.0390;3.2071
2.8800;2.8800;2.8800;2.8800
2.8800;2.8800;2.7394;2.8800
2.8800;2.8800;2.5793;2.8196
2.1600;2.1600;2.0528;2.1600
2.1600;2.1600;1.8111;1.9680
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
2.1600;2.1600;2.1600;2.1600
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
1.4400;1.4400;1.4400;1.4400
0.9600;0.9600;0.9600;0.9600
0.9600;0.9600;0.9600;0.9600
0.9600;0.9600;0.9600;0.9600
0.9600;0.9600;0.9600;0.9600
0.6000;0.6000;0.6000;0.6000
0.6000;0.6000;0.6000;0.6000
0.6000;0.6000;0.6000;0.6000
0.6000;0.6000;0.6000;0.6000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
0.0000;0.0000;0.0000;0.0000
