LINE1;LINE2
-18.9136;-18.9135
-17.6955;-17.6954
-13.5535;-13.5535
-12.5863;-12.5862
-12.2836;-12.2836
-14.5346;-14.5345
-11.7544;-11.7543
-13.0622;-13.0621
-13.3598;-13.3597
-9.8606;-9.8606
-9.9547;-9.9547
-10.3900;-10.3899
-11.1404;-11.1403
-10.9092;-10.9091
-10.5710;-10.5709
-10.9454;-10.9454
-13.2815;-13.2814
-11.0543;-11.0543
-10.5875;-10.5875
-9.7467;-9.7467
-7.7722;-7.7722
-9.2830;-9.2830
-9.2288;-9.2288
-8.4339;-8.4339
-7.9378;-7.9377
-8.6334;-8.6333
-9.5622;-9.5621
-9.7143;-9.7142
-11.7697;-11.7696
-13.9163;-13.9162
-14.9435;-14.9434
-14.0800;-14.0800
-18.2375;-18.2373
-17.5486;-17.5484
-16.7923;-16.7921
-18.5027;-18.5026
-23.1276;-23.1273
-16.1713;-16.1711
-15.5299;-15.5297
-13.3290;-13.3289
-12.1173;-12.1172
-10.1859;-10.1858
-4.6990;-4.6989
-11.3082;-11.3079
-11.8493;-11.8489
-10.3429;-10.3424
-14.8696;-14.8690
-13.6408;-13.6403
-12.3128;-12.3123
-12.9764;-12.9760
-17.1068;-17.1064
-20.8971;-20.8964
-23.4135;-23.4129
-23.2685;-23.2681
-20.9926;-20.9922
-11.2517;-11.2515
-10.1038;-10.1037
-13.9961;-13.9959
-21.9282;-21.9280
-15.0731;-15.0729
-12.8741;-12.8740
-14.4372;-14.4371
-18.1327;-18.1325
-21.3123;-21.3121
-22.7025;-22.7023
-17.7978;-17.7976
-25.6441;-25.6438
-25.2273;-25.2270
-32.7569;-32.7566
-31.0548;-31.0544
-29.5208;-29.5205
-35.7152;-35.7148
-42.6813;-42.6807
-44.5043;-44.5036
-51.7187;-51.7178
-43.2858;-43.2851
-42.1883;-42.1878
-42.1803;-42.1796
-44.8455;-44.8448
-43.2919;-43.2912
-42.2079;-42.2073
-39.6363;-39.6357
-40.4879;-40.4873
-38.0761;-38.0756
-36.1371;-36.1366
-30.3554;-30.3551
-29.2851;-29.2848
-32.1277;-32.1274
-28.8956;-28.8953
-30.2526;-30.2523
-30.5932;-30.5929
-29.6336;-29.6333
-25.6929;-25.6927
-26.9515;-26.9512
-27.4153;-27.4150
-24.6130;-24.6128
