Loss (kW);Loss (kvar)
0.140;0.042
0.172;0.044
0.055;0.019
0.048;0.017
0.045;0.016
0.069;0.023
0.036;0.014
0.060;0.019
0.070;0.021
0.030;0.011
0.028;0.010
0.043;0.013
0.038;0.013
0.042;0.014
0.036;0.012
0.043;0.014
0.067;0.021
0.040;0.014
0.033;0.012
0.028;0.010
0.032;0.010
0.041;0.012
0.036;0.012
0.032;0.011
0.056;0.016
0.060;0.017
0.065;0.020
0.070;0.020
0.128;0.036
0.131;0.038
0.114;0.034
0.114;0.035
0.146;0.050
0.173;0.055
0.282;0.075
0.224;0.069
0.305;0.092
0.303;0.078
0.268;0.068
0.271;0.059
0.257;0.057
0.203;0.051
0.250;0.055
0.322;0.073
0.387;0.082
0.395;0.098
0.453;0.121
0.449;0.103
0.444;0.102
0.440;0.104
0.464;0.115
0.601;0.165
0.620;0.162
0.472;0.138
0.455;0.122
0.307;0.077
0.246;0.057
0.395;0.076
0.439;0.099
0.225;0.065
0.196;0.060
0.193;0.056
0.269;0.081
0.257;0.079
0.260;0.078
0.221;0.067
0.293;0.096
0.241;0.082
0.328;0.113
0.391;0.122
0.279;0.092
0.419;0.140
0.567;0.191
0.523;0.191
0.709;0.255
0.560;0.189
0.516;0.174
0.574;0.186
0.715;0.217
0.659;0.203
0.600;0.186
0.616;0.174
0.459;0.161
0.393;0.139
0.336;0.124
0.262;0.092
0.275;0.090
0.400;0.117
0.281;0.089
0.278;0.092
0.283;0.094
0.251;0.086
0.188;0.066
0.244;0.078
0.260;0.083
0.211;0.068
