USER11;USER26;USER35;USER53
1.0467;1.0458;1.0443;1.0458
1.0462;1.0450;1.0443;1.0449
1.0465;1.0453;1.0444;1.0448
1.0475;1.0465;1.0456;1.0460
1.0469;1.0456;1.0448;1.0449
1.0476;1.0467;1.0462;1.0462
1.0472;1.0459;1.0454;1.0452
1.0473;1.0461;1.0459;1.0454
1.0471;1.0459;1.0456;1.0453
1.0476;1.0467;1.0461;1.0460
1.0478;1.0471;1.0461;1.0465
1.0480;1.0474;1.0466;1.0468
1.0479;1.0475;1.0465;1.0469
1.0464;1.0450;1.0422;1.0442
1.0468;1.0455;1.0432;1.0447
1.0475;1.0465;1.0456;1.0459
1.0460;1.0446;1.0413;1.0441
1.0478;1.0469;1.0461;1.0463
1.0473;1.0461;1.0453;1.0454
1.0475;1.0465;1.0458;1.0458
1.0474;1.0463;1.0449;1.0454
1.0450;1.0428;1.0392;1.0412
1.0466;1.0450;1.0438;1.0431
1.0472;1.0460;1.0456;1.0444
1.0472;1.0458;1.0452;1.0441
1.0471;1.0456;1.0450;1.0434
1.0471;1.0458;1.0452;1.0437
1.0472;1.0461;1.0455;1.0441
1.0464;1.0446;1.0439;1.0425
1.0450;1.0425;1.0395;1.0405
1.0428;1.0398;1.0355;1.0379
1.0429;1.0417;1.0386;1.0402
1.0414;1.0412;1.0387;1.0394
1.0435;1.0437;1.0415;1.0427
1.0439;1.0431;1.0412;1.0409
1.0407;1.0384;1.0356;1.0340
1.0414;1.0384;1.0341;1.0343
1.0466;1.0453;1.0431;1.0438
1.0439;1.0423;1.0387;1.0415
1.0438;1.0426;1.0399;1.0418
1.0443;1.0434;1.0424;1.0427
1.0444;1.0432;1.0418;1.0426
1.0464;1.0456;1.0448;1.0449
1.0473;1.0460;1.0447;1.0451
1.0486;1.0482;1.0467;1.0476
1.0471;1.0458;1.0447;1.0451
1.0459;1.0437;1.0439;1.0417
1.0468;1.0459;1.0462;1.0449
1.0449;1.0458;1.0448;1.0458
1.0443;1.0436;1.0424;1.0432
1.0439;1.0419;1.0400;1.0409
1.0458;1.0441;1.0423;1.0435
1.0437;1.0397;1.0400;1.0366
1.0404;1.0357;1.0364;1.0313
1.0424;1.0383;1.0408;1.0341
1.0447;1.0418;1.0425;1.0387
1.0464;1.0449;1.0457;1.0423
1.0474;1.0468;1.0482;1.0456
1.0431;1.0420;1.0421;1.0410
1.0434;1.0414;1.0398;1.0401
1.0433;1.0410;1.0387;1.0398
1.0411;1.0382;1.0369;1.0358
1.0418;1.0378;1.0367;1.0346
1.0395;1.0336;1.0347;1.0263
1.0427;1.0384;1.0403;1.0322
1.0462;1.0449;1.0437;1.0429
1.0428;1.0413;1.0376;1.0407
1.0419;1.0393;1.0365;1.0369
1.0382;1.0339;1.0304;1.0297
1.0390;1.0357;1.0252;1.0341
1.0404;1.0377;1.0280;1.0362
1.0393;1.0352;1.0266;1.0317
1.0334;1.0266;1.0155;1.0198
1.0339;1.0300;1.0213;1.0256
1.0400;1.0367;1.0282;1.0319
1.0370;1.0322;1.0194;1.0296
1.0361;1.0314;1.0172;1.0290
1.0329;1.0250;1.0135;1.0222
1.0338;1.0271;1.0121;1.0241
1.0343;1.0270;1.0152;1.0235
1.0359;1.0304;1.0164;1.0270
1.0345;1.0283;1.0114;1.0250
1.0364;1.0312;1.0228;1.0279
1.0381;1.0337;1.0251;1.0308
1.0394;1.0353;1.0300;1.0320
1.0405;1.0369;1.0324;1.0341
1.0397;1.0357;1.0292;1.0330
1.0368;1.0315;1.0214;1.0286
1.0399;1.0360;1.0289;1.0335
1.0416;1.0384;1.0317;1.0360
1.0410;1.0377;1.0313;1.0352
1.0439;1.0416;1.0374;1.0396
1.0444;1.0427;1.0396;1.0410
1.0442;1.0425;1.0402;1.0410
1.0452;1.0441;1.0418;1.0432
1.0465;1.0455;1.0436;1.0446
