Loss (kW);Loss (kvar)
0.203;0.073
0.206;0.063
0.056;0.031
0.049;0.027
0.041;0.024
0.061;0.030
0.031;0.021
0.040;0.023
0.051;0.030
0.023;0.016
0.024;0.016
0.034;0.019
0.047;0.022
0.039;0.021
0.032;0.019
0.038;0.021
0.064;0.034
0.031;0.020
0.027;0.019
0.023;0.015
0.026;0.017
0.048;0.025
0.033;0.022
0.027;0.018
0.036;0.022
0.052;0.028
0.044;0.029
0.048;0.030
0.072;0.049
0.104;0.064
0.123;0.069
0.102;0.061
0.139;0.085
0.150;0.081
0.202;0.111
0.239;0.127
0.359;0.173
0.152;0.087
0.147;0.088
0.134;0.073
0.111;0.062
0.090;0.047
0.060;0.038
0.139;0.076
0.139;0.075
0.163;0.094
0.215;0.122
0.171;0.110
0.184;0.120
0.207;0.131
0.301;0.179
0.373;0.192
0.466;0.243
0.462;0.203
0.382;0.169
0.152;0.081
0.098;0.057
0.136;0.079
0.271;0.157
0.154;0.086
0.136;0.072
0.184;0.094
0.229;0.122
0.286;0.155
0.262;0.137
0.143;0.091
0.317;0.171
0.264;0.158
0.427;0.247
0.432;0.231
0.325;0.179
0.381;0.238
0.549;0.332
0.576;0.355
0.808;0.483
0.520;0.307
0.523;0.293
0.532;0.306
0.584;0.322
0.536;0.298
0.520;0.283
0.506;0.260
0.361;0.234
0.323;0.204
0.267;0.184
0.196;0.135
0.206;0.134
0.321;0.169
0.251;0.135
0.269;0.148
0.245;0.142
0.230;0.138
0.160;0.103
0.245;0.121
0.267;0.135
0.228;0.118
