kW_SE;kvar_SE
32.868;6.706
30.210;6.156
22.732;4.636
20.913;4.264
19.713;4.018
22.013;4.487
18.587;3.789
19.416;3.958
21.899;4.466
15.855;3.230
16.072;3.275
17.294;3.524
18.659;3.802
18.375;3.745
17.668;3.601
18.226;3.714
22.592;4.608
17.984;3.665
17.539;3.575
15.855;3.230
16.466;3.355
20.008;4.078
19.025;3.879
17.171;3.499
19.104;3.894
21.452;4.374
21.720;4.430
22.372;4.563
28.364;5.794
32.752;6.694
34.031;6.955
31.706;6.478
37.543;7.681
36.450;7.452
42.702;8.741
45.547;9.327
52.535;10.768
37.836;7.739
38.355;7.846
34.814;7.115
32.151;6.568
27.822;5.679
24.968;5.095
34.623;7.078
34.351;7.022
39.047;7.990
43.263;8.863
40.195;8.237
42.028;8.616
45.171;9.261
52.933;10.866
55.925;11.472
62.330;12.805
56.918;11.667
51.554;10.559
36.328;7.427
29.666;6.062
33.676;6.890
47.643;9.777
37.906;7.752
34.404;7.031
38.828;7.941
44.445;9.100
50.266;10.304
46.042;9.433
38.507;7.881
49.969;10.253
50.844;10.429
62.991;12.951
61.144;12.559
54.129;11.104
63.093;12.973
74.565;15.362
75.916;15.654
89.660;18.525
71.688;14.759
69.091;14.217
70.987;14.613
72.540;14.933
69.852;14.374
67.616;13.907
64.014;13.156
62.097;12.770
57.987;11.913
55.427;11.384
47.724;9.786
47.490;9.736
52.569;10.779
47.199;9.668
49.561;10.157
48.777;9.997
47.926;9.823
41.917;8.582
44.689;9.146
47.272;9.680
43.880;8.981
