USER4EDEMAND;USER10EDEMAND;USER11EDEMAND;USER18EDEMAND;USER47EDEMAND;USER60EDEMAND;USER66EDEMAND;USER69EDEMAND;USER80EDEMAND;USER86EDEMAND
31;119;29;77;126;201;94;205;128;188
13;107;39;115;91;172;88;192;137;176
16;85;51;138;96;161;213;192;98;180
14;41;28;133;129;147;67;204;23;224
17;28;33;119;182;124;29;183;28;211
13;23;56;117;36;124;10;104;28;192
16;26;32;96;39;100;14;115;26;123
13;24;32;39;36;53;27;108;36;79
17;41;44;36;37;42;23;115;29;85
13;30;40;60;34;52;9;115;21;62
16;27;36;69;58;57;21;114;30;61
14;23;33;59;34;54;22;111;25;70
36;24;50;38;22;62;18;113;34;93
31;35;32;33;21;70;99;109;23;78
32;31;32;43;23;45;17;113;29;53
29;31;54;38;22;31;22;107;21;24
33;26;27;39;115;39;18;133;23;44
28;23;20;135;49;60;12;103;29;40
26;31;39;94;24;56;20;111;34;25
13;32;31;64;16;53;21;112;21;20
17;26;22;48;17;53;19;106;23;27
13;24;31;33;18;54;9;112;20;39
16;26;40;38;24;35;20;124;48;25
13;26;16;44;47;30;29;107;44;12
17;35;15;35;51;53;11;113;38;18
14;25;32;33;17;74;11;111;64;34
16;30;21;40;19;57;26;109;70;34
13;23;13;71;15;37;30;100;77;16
16;26;26;58;19;32;173;120;100;14
13;35;26;56;32;50;29;122;75;22
32;26;16;124;54;45;32;105;112;42
30;27;13;134;66;54;23;107;88;23
33;27;42;124;53;54;25;146;66;15
29;24;20;147;47;64;26;157;76;12
32;34;22;89;55;58;19;143;77;37
29;28;33;42;42;55;10;145;66;36
21;26;28;73;94;53;23;143;100;18
13;49;19;75;58;116;173;265;117;13
16;63;26;67;72;112;746;209;82;16
13;178;37;53;393;103;89;224;99;42
17;67;19;166;383;94;230;212;92;27
13;69;20;518;34;102;42;218;45;16
16;51;41;131;62;195;38;528;68;15
12;86;26;70;38;190;35;492;21;24
18;62;26;73;93;98;81;299;23;69
13;69;34;85;61;110;27;401;12;42
16;63;49;97;28;95;50;555;7;22
13;74;33;64;29;63;40;273;10;13
35;62;48;56;59;69;32;213;9;40
31;385;62;55;29;69;19;193;8;33
32;93;42;46;52;82;30;172;8;18
28;81;39;34;82;80;29;163;5;20
33;164;53;43;78;81;23;194;4;36
29;205;49;45;44;78;24;180;72;62
23;90;41;48;47;72;55;178;12;41
13;109;41;59;37;57;147;175;6;31
18;204;52;62;38;59;51;160;5;35
13;90;28;104;99;84;379;150;72;57
17;106;31;32;67;106;691;166;7;61
13;221;44;23;30;120;432;173;4;28
17;88;34;32;92;145;60;164;124;41
13;67;24;24;41;128;54;181;5;70
16;93;31;45;92;140;54;183;12;65
13;85;38;45;82;119;31;163;18;44
17;90;28;49;54;134;19;152;33;38
13;95;28;41;59;138;21;168;32;39
25;130;54;117;42;148;133;199;47;68
32;207;30;117;43;131;20;188;42;100
33;172;30;176;52;171;68;206;61;185
29;158;30;192;45;191;103;208;252;194
31;151;33;365;39;193;338;319;235;221
29;154;17;651;74;199;137;217;114;218
28;162;22;839;71;202;100;206;126;247
13;198;40;310;57;218;946;203;100;203
16;172;21;242;119;221;411;220;140;233
13;135;17;247;64;198;546;189;150;220
17;123;34;251;73;186;83;190;87;268
13;143;30;256;75;195;95;184;468;205
17;172;20;235;124;204;90;197;302;222
13;260;19;269;82;170;215;190;129;581
17;138;44;228;77;159;88;188;90;996
13;135;18;219;66;164;88;187;93;918
16;155;20;219;70;173;154;194;614;903
13;149;28;230;95;164;139;180;116;628
17;172;34;219;72;167;105;170;147;486
31;135;18;200;82;162;95;130;553;461
34;132;20;226;68;161;85;199;71;421
29;139;38;182;60;142;89;127;64;442
33;136;25;185;56;141;99;132;73;511
29;140;17;211;87;367;81;126;65;424
32;127;25;216;157;131;52;126;61;361
16;128;38;168;122;106;30;128;55;237
17;129;22;145;129;97;17;154;68;235
13;384;17;128;144;92;12;244;71;215
16;289;34;131;57;99;20;401;58;206
14;101;34;143;20;82;22;283;62;206
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
